Name,Agility,Reactions,total
S. Hogan,71.0,70.0,228.0
Pêpê,62.0,71.0,197.0
Park Joo Ho,77.0,73.0,225.0
R. Maiello,79.0,68.0,223.0
B. Guillaume,67.0,62.0,194.0
Vinicius Trieiro,67.0,72.0,212.0
Christian Fernández,61.0,66.0,189.0
F. Fragapane,87.0,58.0,231.0
A. Chipciu,71.0,68.0,215.0
E. Koulouris,65.0,64.0,198.0
Raphael Paneira,73.0,73.0,204.0
C. Espinoza,80.0,66.0,223.0
C. Borja,78.0,66.0,234.0
M. Pouraliganji,62.0,66.0,197.0
Jailson Oliva,84.0,66.0,235.0
Jordi Mboula,78.0,62.0,225.0
F. Hasani,79.0,65.0,222.0
J. Sambia,80.0,65.0,221.0
Jorge Sáenz,57.0,64.0,185.0
P. Mahlambi,62.0,53.0,203.0
D. McGoldrick,74.0,70.0,210.0
G. Kagelmacher,65.0,65.0,196.0
N. Leali,34.0,64.0,131.0
M. Pospíšil,81.0,74.0,226.0
A. Aguerre,45.0,70.0,164.0
M. Robak,68.0,66.0,194.0
Javi Márquez,70.0,65.0,189.0
C. Ramos,59.0,57.0,175.0
T. Bunbury,70.0,66.0,210.0
D. Cvetinović,63.0,64.0,190.0
L. Ajorque,58.0,63.0,172.0
R. Nissen Kristensen,66.0,69.0,210.0
T. Hiariej,75.0,67.0,214.0
J. Marveaux,63.0,68.0,180.0
M. Kone,77.0,66.0,224.0
F. Holland,76.0,66.0,216.0
C. Suárez,35.0,68.0,162.0
B. Safari,59.0,71.0,199.0
M. Varnier,49.0,63.0,176.0
B. Kadrii,83.0,67.0,234.0
J. Paredes,90.0,74.0,240.0
Aitor García,74.0,70.0,224.0
L. Spalvis,64.0,65.0,197.0
M. Stoppelkamp,75.0,67.0,220.0
T. Itō,95.0,74.0,262.0
Nenê,63.0,67.0,176.0
C. Strohdiek,37.0,66.0,139.0
J. Brabec,61.0,67.0,181.0
S. Çikalleshi,37.0,64.0,170.0
L. García,32.0,60.0,138.0
M. Wasilewski,30.0,61.0,123.0
S. Griesbeck,56.0,66.0,176.0
J. Benítez,80.0,66.0,227.0
Diogildo Peixe,83.0,66.0,220.0
N. Ibáñez,38.0,56.0,140.0
I. Uche,86.0,65.0,225.0
D. Dessena,71.0,68.0,208.0
R. Ovelar,63.0,68.0,180.0
V. Mannone,42.0,70.0,171.0
J. Gillet,62.0,59.0,160.0
L. Venuti,71.0,65.0,213.0
J. Meneses,91.0,62.0,238.0
G. Maniatis,67.0,74.0,207.0
A. Mabil,85.0,65.0,243.0
M. Olivera,68.0,62.0,205.0
J. Madueña,76.0,58.0,213.0
R. Kurzawa,72.0,69.0,192.0
F. Pellegrino,28.0,62.0,126.0
N. Ampomah,90.0,65.0,243.0
C. Fuentes,70.0,67.0,215.0
O. Burke,70.0,65.0,220.0
Sandro Manoel,71.0,69.0,210.0
K. Dowell,69.0,60.0,192.0
N. Leguizamón,73.0,67.0,214.0
G. Espinoza,72.0,67.0,209.0
A. Balić,68.0,60.0,191.0
M. Dos Santos,63.0,66.0,183.0
Breno Bemposta,62.0,71.0,182.0
B. Capon,78.0,68.0,220.0
C. Hudson-Odoi,84.0,62.0,232.0
Ruiz de Galarreta,75.0,65.0,202.0
V. Osimhen,68.0,64.0,207.0
Mauro Júnior,83.0,62.0,227.0
M. Casierra,77.0,76.0,231.0
L. Cáceda,40.0,64.0,162.0
B. Nieuwkoop,63.0,65.0,203.0
M. Cash,88.0,62.0,229.0
P. Huntington,30.0,61.0,133.0
A. Paločević,75.0,73.0,221.0
L. Sequeira,75.0,53.0,205.0
A. Bouka Moutou,68.0,67.0,207.0
I. Saadi,65.0,65.0,203.0
J. Shackell,56.0,67.0,169.0
D. Wheater,42.0,63.0,147.0
L. Tomlin,72.0,63.0,197.0
N. Viola,70.0,69.0,208.0
O. Shevchenko,35.0,65.0,132.0
Marlinito Dias,45.0,78.0,176.0
Marc Cardona,70.0,65.0,213.0
J. Rivierez,57.0,66.0,191.0
A. Crescenzi,81.0,67.0,228.0
José Arnáiz,87.0,67.0,240.0
L. Giannetti,58.0,61.0,185.0
R. Boffin,52.0,67.0,175.0
R. Ramírez,71.0,70.0,217.0
D. von Ballmoos,45.0,58.0,158.0
T. Carson,56.0,65.0,176.0
T. Tawatha,76.0,67.0,221.0
J. Martins Pereira,65.0,58.0,188.0
P. Gallagher,66.0,63.0,184.0
M. Morrison,52.0,70.0,172.0
C. Fierro,89.0,64.0,239.0
Bruno Moreira,58.0,66.0,184.0
F. Ayité,81.0,71.0,233.0
F. Zuculini,72.0,68.0,206.0
J. Morrow,66.0,68.0,202.0
Vítor Gonçalves,76.0,70.0,213.0
Wei Shihao,76.0,66.0,218.0
J. Cuffaut,73.0,71.0,215.0
Y. Touzghar,80.0,68.0,216.0
L. Evans,61.0,65.0,180.0
Luan Sendeiro,56.0,68.0,190.0
Iriome,76.0,54.0,211.0
J. Cortés,72.0,65.0,203.0
E. Bologna,40.0,68.0,155.0
A. Batalla,37.0,71.0,151.0
M. Formica,69.0,64.0,207.0
J. Robinson,75.0,65.0,215.0
Matheus Cunha,69.0,67.0,214.0
M. George,66.0,65.0,222.0
Nino,72.0,83.0,217.0
X. Kouassi,83.0,69.0,225.0
G. Kerk,78.0,65.0,235.0
J. Bacuna,68.0,68.0,208.0
Y. Boli,72.0,64.0,214.0
Lasure,63.0,66.0,198.0
J. Van Rankin,72.0,67.0,217.0
S. Luperto,56.0,66.0,176.0
Pita,45.0,74.0,158.0
Dani Jiménez,66.0,68.0,183.0
J. Williams,90.0,61.0,223.0
Philipe Sampaio,46.0,66.0,150.0
D. Sow,67.0,64.0,207.0
Sevinho Santos,65.0,72.0,198.0
M. Pajač,67.0,69.0,212.0
J. Domínguez,66.0,66.0,198.0
J. Wurtz,70.0,72.0,214.0
Derley,69.0,68.0,205.0
C. Coosemans,47.0,68.0,158.0
Gabriel Xavier,72.0,64.0,210.0
H. Moukoudi,40.0,60.0,151.0
N. Dyer,85.0,66.0,235.0
H. Menosse,33.0,62.0,150.0
César Arzo,57.0,69.0,171.0
M. Manotas,72.0,67.0,214.0
Waguininho,76.0,68.0,218.0
A. Jędrzejczyk,66.0,65.0,200.0
C. Diandy,68.0,67.0,200.0
J. Toledo,50.0,66.0,169.0
W. Zahibo,51.0,67.0,176.0
J. Dudziak,84.0,67.0,235.0
P. Franco,66.0,67.0,189.0
R. Jenssen,81.0,72.0,223.0
Dodô,90.0,73.0,254.0
M. Donald,57.0,68.0,187.0
A. Sissoko,71.0,72.0,210.0
Renato Chaves,44.0,64.0,172.0
M. Odubajo,77.0,63.0,219.0
W. Vaulks,64.0,68.0,193.0
Y. Al Shehri,80.0,60.0,211.0
D. Cerén,53.0,65.0,173.0
E. Arango,82.0,64.0,228.0
C. Mandanne,90.0,75.0,237.0
C. Traoré,64.0,62.0,201.0
F. Acuña,89.0,64.0,231.0
D. Aleksić,79.0,56.0,205.0
L. Boyce,70.0,62.0,201.0
J. Scowen,74.0,69.0,204.0
J. Murillo,92.0,76.0,258.0
J. San Román,60.0,73.0,206.0
S. Štilić,76.0,74.0,207.0
M. Yıldırım,19.0,70.0,115.0
Gus Ledes,80.0,66.0,216.0
R. Alioui,69.0,63.0,198.0
V. Huerta,53.0,63.0,150.0
S. Kaya,65.0,66.0,197.0
S. Delev,86.0,68.0,245.0
K. Ehizibue,70.0,66.0,221.0
D. Larsson,73.0,66.0,224.0
B. Urribarri,88.0,66.0,239.0
D. Williams,61.0,66.0,195.0
J. García,38.0,62.0,135.0
L. Cattermole,64.0,66.0,183.0
P. Álvarez,65.0,71.0,198.0
A. Putsila,75.0,63.0,209.0
K. Kanatsızkuş,61.0,65.0,190.0
Momo,69.0,64.0,196.0
E. Godoy,52.0,64.0,179.0
C. Bovo,50.0,64.0,152.0
J. Meredith,63.0,65.0,203.0
B. Henning,85.0,68.0,231.0
O. Petrák,66.0,64.0,204.0
B. Röcker,32.0,57.0,118.0
R. Cardozo,73.0,73.0,219.0
M. Duelund,83.0,68.0,227.0
M. Seuntjens,67.0,68.0,198.0
Nilson Padilho,78.0,76.0,221.0
G. Gómez,81.0,72.0,216.0
Dai Lin,53.0,63.0,173.0
M. Budimir,49.0,53.0,166.0
Javi Lara,69.0,61.0,195.0
Alef,58.0,64.0,186.0
J. Palacios,78.0,63.0,226.0
C. Henao,44.0,56.0,149.0
C. Yambéré,34.0,60.0,161.0
O. Dramé,86.0,64.0,240.0
S. Michel,77.0,68.0,235.0
S. Özcan,74.0,59.0,200.0
M. Correia,63.0,67.0,192.0
J. Harrison,79.0,65.0,230.0
F. Diabaté,82.0,64.0,226.0
E. Torres,83.0,70.0,223.0
R. Improta,91.0,65.0,234.0
N. Hauptmann,90.0,64.0,236.0
A. Bouhaddouz,58.0,68.0,188.0
S. Ubilla,91.0,60.0,237.0
Francisco Ramos,59.0,73.0,193.0
J. Roa,71.0,68.0,215.0
K. N'Doram,55.0,68.0,183.0
J. Torunarigha,54.0,56.0,177.0
C. Deac,72.0,74.0,210.0
Marc Gual,56.0,64.0,185.0
B. Samudio,73.0,62.0,209.0
S. Bassong,55.0,63.0,181.0
S. Manolev,69.0,69.0,210.0
A. Letellier,32.0,70.0,141.0
I. Ezekiel,87.0,73.0,252.0
C. Oliveira Souza,83.0,63.0,230.0
J. Palmieri,73.0,67.0,211.0
M. Larrondo,60.0,64.0,163.0
J. Colback,68.0,67.0,198.0
T. Kister,38.0,63.0,154.0
N. Omladič,81.0,60.0,215.0
P. Cuadra,83.0,62.0,236.0
I. Plastun,35.0,65.0,139.0
W. Dutoit,52.0,66.0,164.0
M. Matvienko,60.0,65.0,196.0
A. Chatzigiovanis,73.0,65.0,218.0
M. Ardemagni,71.0,69.0,206.0
A. Pearce,43.0,65.0,147.0
E. Imorou,71.0,68.0,212.0
M. Franke,37.0,62.0,146.0
F. Falco,91.0,64.0,237.0
L. Villalba,78.0,64.0,217.0
Tiago Lopes,74.0,69.0,213.0
Diogo Viana,78.0,66.0,227.0
M. El Kabir,70.0,68.0,207.0
O. Nguette,80.0,64.0,234.0
A. Engin,76.0,72.0,227.0
J. Ortiz,67.0,64.0,200.0
S. Khelifi,90.0,67.0,244.0
J. Reine-Adélaïde,82.0,68.0,231.0
K. Kronholm,30.0,69.0,128.0
N. Ninković,69.0,56.0,196.0
M. Gakpa,78.0,65.0,225.0
Eber Bessa,83.0,73.0,229.0
C. Valencia,66.0,72.0,207.0
B. Mokulu,64.0,68.0,212.0
D. Johnson,84.0,63.0,226.0
D. Marney,63.0,71.0,189.0
M. Kieftenbeld,68.0,64.0,198.0
P. Heise,66.0,65.0,206.0
A. Rudko,28.0,68.0,111.0
L. Mchedlidze,58.0,65.0,178.0
H. Al Moqahwi,73.0,66.0,209.0
S. Fletcher,68.0,70.0,192.0
K. Danso,64.0,62.0,181.0
C. Tiffert,73.0,74.0,202.0
T. Asano,91.0,76.0,259.0
G. Torres,73.0,73.0,221.0
S. Napoleoni,72.0,71.0,211.0
A. Konradsen,69.0,75.0,209.0
K. Günter,61.0,66.0,188.0
S. Medojević,66.0,66.0,199.0
Anuar,81.0,67.0,221.0
Sastre,70.0,67.0,190.0
G. Pinzi,69.0,67.0,201.0
Jona,71.0,64.0,205.0
Daniel Amora,62.0,64.0,180.0
P. Toranzo,64.0,63.0,182.0
Carlinhos,71.0,71.0,215.0
E. Hestad,79.0,67.0,223.0
Fernando,79.0,72.0,231.0
S. Adamyan,76.0,66.0,221.0
Fede,67.0,64.0,199.0
Nathan Otávio,61.0,66.0,189.0
M. Wittek,80.0,63.0,222.0
Rafa Navarro,79.0,62.0,219.0
N. Taylor,70.0,64.0,209.0
M. Schäffler,65.0,71.0,204.0
E. Ávila,76.0,65.0,218.0
A. Mazzotta,69.0,68.0,213.0
P. Frankowski,76.0,64.0,233.0
P. Budkivskyi,63.0,59.0,189.0
J. Flum,51.0,69.0,162.0
Y. Ngbakoto,81.0,67.0,225.0
R. Bonevacia,69.0,66.0,216.0
K. Shibasaki,73.0,68.0,209.0
D. Lainez,87.0,64.0,233.0
M. Navarrete,55.0,63.0,177.0
F. Valiani,80.0,71.0,226.0
J. Maghoma,84.0,62.0,232.0
Alex López,69.0,68.0,200.0
Hernán,64.0,69.0,184.0
A. Werner,34.0,55.0,130.0
B. Bjarnason,73.0,72.0,214.0
Pichu Atienza,51.0,62.0,147.0
F. Campos,76.0,63.0,220.0
Christian Rivera,62.0,65.0,182.0
Johannesson,72.0,65.0,217.0
C. Acevedo,37.0,61.0,119.0
A. Budimir,59.0,66.0,177.0
J. Troisi,77.0,66.0,219.0
A. Tuia,63.0,63.0,191.0
V. Pálsson,68.0,60.0,188.0
M. Tahrat,56.0,63.0,168.0
E. Korkmaz,47.0,60.0,161.0
Jeong Jae Yong,70.0,69.0,208.0
L. Mousset,71.0,62.0,208.0
C. Michelin,63.0,66.0,193.0
F. Ojo,85.0,67.0,224.0
Jeong Woon,71.0,71.0,221.0
M. Bodmer,34.0,58.0,123.0
K. Smith,70.0,72.0,210.0
A. Wisdom,60.0,68.0,196.0
S. Doi,76.0,68.0,214.0
Thiago Carleto,73.0,69.0,214.0
D. Stracqualursi,51.0,61.0,152.0
C. Maxwell,45.0,68.0,152.0
Alberto Martín,62.0,62.0,176.0
S. Birnbaum,41.0,68.0,153.0
J. Dilrosun,78.0,65.0,226.0
A. Kali,75.0,67.0,202.0
D. Fox,64.0,68.0,179.0
L. Castro,78.0,69.0,225.0
I. Nedelcearu,47.0,67.0,172.0
A. Orión,49.0,70.0,163.0
D. Milošević,73.0,63.0,203.0
J. Minala,61.0,66.0,196.0
S. Çinaz,54.0,65.0,168.0
A. Turan,69.0,70.0,217.0
S. Dursun,56.0,64.0,185.0
C. Leemans,63.0,64.0,190.0
Kwon Soon Hyung,72.0,68.0,185.0
Errasti,69.0,64.0,197.0
M. Camporese,59.0,61.0,181.0
M. Al Buraik,65.0,65.0,208.0
J. de Wijs,34.0,64.0,139.0
Murilo Freitas,78.0,73.0,230.0
W. Rémy,61.0,60.0,193.0
C. Valenzuela,82.0,59.0,215.0
F. Pizzini,83.0,64.0,225.0
A. Ignjovski,77.0,70.0,220.0
M. El-Munir,76.0,64.0,227.0
R. Del Castillo,88.0,64.0,228.0
M. Diaby,84.0,58.0,229.0
G. Garza,68.0,70.0,210.0
L. Jans,73.0,64.0,212.0
Aguza,60.0,65.0,182.0
R. Fernández,70.0,66.0,208.0
N. Wells,78.0,66.0,226.0
D. Croce,81.0,72.0,233.0
E. Loeschbor,39.0,69.0,162.0
P. Schuurs,59.0,63.0,187.0
B. Kololli,70.0,71.0,217.0
K. Sigþórsson,56.0,72.0,179.0
M. Koné,82.0,65.0,230.0
R. Fiamozzi,80.0,67.0,227.0
L. Pico,69.0,70.0,207.0
E. Bello,76.0,54.0,212.0
Salvador Agra,90.0,68.0,250.0
P. McNair,58.0,69.0,190.0
D. Rodríguez,85.0,72.0,234.0
M. Stiepermann,67.0,68.0,199.0
J. Fulton,69.0,57.0,193.0
L. Abram,55.0,58.0,178.0
Z. Gano,50.0,69.0,181.0
L. Mazzoni,29.0,62.0,116.0
Y. M'Changama,81.0,67.0,226.0
T. Mings,58.0,65.0,185.0
K. Árnason,34.0,66.0,130.0
U. Bozok,78.0,66.0,223.0
Borja Fernández,43.0,66.0,142.0
H. Bazile,72.0,63.0,214.0
G. Carey,83.0,62.0,229.0
P. Souaré,71.0,70.0,212.0
Verdasca,63.0,58.0,186.0
J. Vigón,63.0,65.0,184.0
Edsinho Torres,63.0,65.0,190.0
S. Kaneko,91.0,58.0,236.0
D. Batubinsika,52.0,63.0,179.0
F. Giefer,43.0,68.0,149.0
H. Wahl,56.0,64.0,174.0
M. Albæk,70.0,69.0,192.0
Juan Dominguez,72.0,73.0,207.0
C. Avevor,57.0,66.0,185.0
David Costas,66.0,60.0,194.0
M. Faraoni,67.0,70.0,209.0
L. Mendoza,74.0,67.0,224.0
S. Romagnoli,56.0,62.0,172.0
A. Ngando,70.0,58.0,200.0
B. Vidal,55.0,56.0,183.0
C. Buonaiuto,80.0,66.0,222.0
L. Jutkiewicz,55.0,68.0,179.0
Li Xuepeng,63.0,67.0,208.0
Fábio Sturgeon,71.0,65.0,208.0
K. Mahachi,78.0,50.0,211.0
D. Barbona,76.0,65.0,220.0
M. Silva,60.0,61.0,163.0
G. Voboril,64.0,65.0,206.0
Kim Jong Woo,74.0,74.0,216.0
M. Terrazzino,79.0,68.0,216.0
A. Ferrari,67.0,70.0,206.0
Rafa Mir,63.0,65.0,197.0
P. Iemmello,74.0,64.0,215.0
M. Cerato,90.0,54.0,235.0
Aleix García,71.0,58.0,195.0
O. Linnér,31.0,58.0,123.0
Platiny,74.0,69.0,218.0
D. Petrić,34.0,69.0,150.0
A. Meijers,69.0,71.0,211.0
Jeong Seung Hyun,33.0,63.0,133.0
Flávio Rebeilo,76.0,65.0,220.0
E. Tercero,60.0,69.0,204.0
Kalindi,79.0,70.0,234.0
L. Kübler,65.0,67.0,199.0
M. Caballero,69.0,69.0,213.0
A. Rocha,70.0,64.0,193.0
M. Ingvartsen,68.0,67.0,203.0
N. Moiraghi,45.0,62.0,153.0
C. Wondolowski,58.0,73.0,181.0
M. Petržela,77.0,65.0,224.0
A. Cissokho,60.0,57.0,190.0
P. Bauer,41.0,57.0,131.0
J. López,30.0,65.0,131.0
C. Quintero,70.0,62.0,208.0
R. Wallace,83.0,67.0,224.0
P. Alvarado,66.0,69.0,193.0
A. Micai,36.0,70.0,154.0
H. Veerman,32.0,66.0,172.0
A. Salvi,80.0,70.0,227.0
B. Khuzwayo,31.0,52.0,118.0
R. Loaiza,61.0,64.0,186.0
Hugo Vieira,82.0,75.0,241.0
P. Türpitz,78.0,67.0,227.0
N. Đurđić,73.0,76.0,218.0
K. Overmeire,61.0,65.0,193.0
H. Campagnaro,51.0,64.0,149.0
F. Mancinelli,53.0,74.0,172.0
F. Ondoa,67.0,59.0,176.0
G. Ward,77.0,66.0,221.0
Campillo,59.0,65.0,185.0
E. Bush,42.0,66.0,157.0
J. Silbeira,46.0,69.0,161.0
F. Jungwirth,58.0,71.0,182.0
I. Bel Hassani,76.0,63.0,206.0
André Santos,72.0,65.0,203.0
B. Johnson,59.0,68.0,182.0
Cotán,74.0,72.0,210.0
Artur Jorge,45.0,66.0,167.0
T. Malacia,80.0,64.0,229.0
M. van Buren,70.0,67.0,222.0
Daguinho Parrela,61.0,64.0,202.0
D. Beasley,77.0,72.0,226.0
C. Zimmermann,44.0,51.0,151.0
Ademilson,90.0,65.0,244.0
Jorginho,71.0,71.0,211.0
Lee Chung Yong,75.0,74.0,222.0
C. Eiting,68.0,71.0,203.0
F. Ballas,34.0,65.0,130.0
J. Komar,47.0,68.0,166.0
Y. Gomis,75.0,52.0,208.0
Rodrigo,74.0,69.0,216.0
S. Winnall,79.0,67.0,223.0
T. Delaine,65.0,67.0,208.0
L. Quintana,59.0,64.0,176.0
Rogério,72.0,69.0,220.0
L. Nielsen,60.0,63.0,187.0
D. Batth,34.0,58.0,123.0
J. Giraudon,56.0,67.0,188.0
Vítor Bruno,80.0,66.0,228.0
K. Watanabe,73.0,54.0,180.0
V. Ulloa,68.0,67.0,191.0
Zhang Linpeng,63.0,65.0,199.0
T. Eisfeld,74.0,61.0,208.0
J. Cristaldo,81.0,67.0,224.0
Bernardo Motinho,72.0,67.0,210.0
C. Walton,32.0,59.0,128.0
Sergi Palencia,75.0,64.0,223.0
V. Lampropoulos,66.0,64.0,199.0
L. Tremolada,77.0,68.0,222.0
M. Pátkai,79.0,66.0,219.0
F. Al Ansari,60.0,66.0,180.0
José Semedo,57.0,69.0,179.0
G. Giakoumakis,65.0,66.0,201.0
M. Leovac,70.0,68.0,216.0
T. Figueroa,34.0,68.0,136.0
Pol Llonch,74.0,61.0,218.0
B. Angulo,70.0,68.0,219.0
E. Bennett,73.0,63.0,214.0
C. Nhamoinesu,77.0,67.0,224.0
B. Rabello,85.0,66.0,227.0
J. Insaurralde,58.0,70.0,175.0
A. Bernardini,49.0,65.0,169.0
J. Walker,87.0,60.0,233.0
A. Sørloth,44.0,61.0,172.0
David Raya,48.0,66.0,159.0
M. Cassierra,74.0,64.0,206.0
A. Tchouaméni,66.0,69.0,204.0
J. Siebatcheu,63.0,67.0,190.0
V. Angban,71.0,67.0,194.0
Edu Expósito,63.0,69.0,197.0
A. Nordin,73.0,57.0,214.0
Rodri,92.0,66.0,239.0
M. Pisano,76.0,70.0,222.0
G. Whelan,66.0,69.0,167.0
M. Parkhurst,54.0,69.0,172.0
J. Zárate,79.0,60.0,223.0
P. Kanstrup,60.0,67.0,190.0
G. Scognamiglio,51.0,63.0,164.0
E. Ersoy,49.0,65.0,178.0
L. Licht,71.0,66.0,210.0
Borja Herrera,77.0,59.0,210.0
E. Brignola,77.0,62.0,213.0
M. Maddison,74.0,58.0,209.0
M. Cavion,64.0,64.0,192.0
C. Mosquera,87.0,66.0,242.0
R. Gudiño,31.0,67.0,143.0
V. Malcorra,77.0,70.0,223.0
Milton Menceiros,71.0,73.0,220.0
Jamiro Monteiro,83.0,65.0,226.0
L. Bridcutt,72.0,65.0,203.0
Luisinho,88.0,59.0,225.0
E. Elmas,74.0,63.0,203.0
N. Pérez,52.0,75.0,194.0
D. Ndlovu,60.0,56.0,201.0
Y. Reyna,83.0,66.0,234.0
D. Kownacki,72.0,66.0,215.0
H. Faik,64.0,62.0,174.0
C. Mepham,51.0,66.0,181.0
D. Rudd,50.0,69.0,173.0
Bruno Gallo,69.0,68.0,205.0
M. Peybernès,38.0,67.0,156.0
D. Böde,59.0,58.0,181.0
T. Schröck,59.0,67.0,189.0
I. Brown,80.0,61.0,215.0
J. Morris,76.0,64.0,229.0
J. Taravel,48.0,61.0,163.0
A. Lusamba,77.0,60.0,213.0
Felipe,57.0,65.0,170.0
Z. Touré,59.0,65.0,191.0
I. Hajrović,73.0,64.0,212.0
T. Kempe,71.0,70.0,211.0
V. Giraldo,73.0,71.0,227.0
A. Wooten,70.0,65.0,207.0
U. Đurđević,70.0,67.0,212.0
A. Bastía,58.0,60.0,177.0
S. Allagui,77.0,71.0,223.0
M. Müller,34.0,67.0,126.0
P. Galdames,79.0,59.0,216.0
O. Benítez,73.0,66.0,212.0
E. Löwen,60.0,65.0,188.0
A. Fathi,73.0,67.0,217.0
I. Sylla,73.0,66.0,204.0
A. Tziolis,43.0,64.0,139.0
J. Une Larsson,64.0,64.0,193.0
Pedro Pinto,47.0,67.0,177.0
G. Hairemans,67.0,69.0,191.0
E. Oztumer,94.0,62.0,240.0
S. Mugoša,61.0,67.0,192.0
O. Oularé,49.0,64.0,167.0
T. Sparv,55.0,72.0,172.0
Matheus,36.0,64.0,152.0
M. Jurman,62.0,54.0,169.0
F. Malbašić,77.0,70.0,226.0
N. Domínguez,71.0,66.0,208.0
J. Ramaré,71.0,63.0,171.0
Yang Han Been,32.0,65.0,139.0
S. Magnasco,71.0,64.0,216.0
L. Mancuso,78.0,72.0,222.0
Nuno André Coelho,42.0,69.0,141.0
E. Ambrose,59.0,63.0,187.0
S. Kitsiou,73.0,67.0,217.0
Eltson Marques,38.0,75.0,161.0
C. De Norre,71.0,66.0,219.0
Eloi Amagat,65.0,62.0,175.0
R. Abdullah,65.0,64.0,195.0
M. Ordóñez,57.0,70.0,195.0
L. Robertone,73.0,56.0,205.0
I. Mathew,79.0,69.0,226.0
P. Velthuizen,40.0,67.0,151.0
K. Erasmus,77.0,65.0,221.0
K. Mokotjo,69.0,68.0,204.0
C. Guzmán,71.0,64.0,210.0
A. Fink,82.0,70.0,228.0
D. Łukasik,68.0,57.0,183.0
J. Chunga,59.0,63.0,165.0
C. Lombardi,78.0,58.0,213.0
E. Hackman,68.0,67.0,210.0
Aleix Febas,81.0,62.0,213.0
A. Isak,77.0,66.0,221.0
R. Munsy,57.0,67.0,205.0
E. Hussain,78.0,67.0,218.0
Magno,61.0,65.0,196.0
N. Bodurov,63.0,65.0,192.0
Álvaro Peña,74.0,49.0,191.0
B. Riveros,84.0,66.0,235.0
J. Villota,77.0,64.0,213.0
V. Fındıklı,42.0,57.0,133.0
L. Chambers,54.0,64.0,177.0
D. Batallini,74.0,55.0,208.0
Z. Zlámal,78.0,51.0,196.0
D. Odoi,84.0,68.0,230.0
Juanjo,68.0,66.0,202.0
M. Jahfali,55.0,62.0,185.0
M. Bunn,54.0,64.0,166.0
David Batanero,61.0,58.0,174.0
M. Lukač,45.0,67.0,154.0
M. Wilson,63.0,68.0,182.0
A. Jansen,65.0,64.0,193.0
A. Sobiech,65.0,67.0,196.0
L. Manyama,46.0,70.0,191.0
S. Morison,53.0,70.0,172.0
A. Sepúlveda,67.0,69.0,215.0
R. Murawski,81.0,61.0,222.0
Pinillos,73.0,60.0,205.0
P. Celeban,74.0,71.0,188.0
J. Williams,59.0,63.0,187.0
N. Fernández,83.0,69.0,228.0
S. Taniguchi,61.0,60.0,184.0
A. Bogdán,35.0,67.0,154.0
M. Ritter,87.0,65.0,228.0
L. Ridgewell,65.0,59.0,187.0
C. Labrín,53.0,64.0,172.0
S. Eduok,79.0,65.0,218.0
J. Buijs,62.0,67.0,198.0
M. Olsson,77.0,70.0,226.0
M. Murillo,67.0,65.0,198.0
A. Spörle,66.0,64.0,209.0
J. Rodríguez,77.0,62.0,209.0
B. Halimi,90.0,61.0,229.0
O. Ruisalvo,81.0,64.0,220.0
K. Mac Allister,72.0,68.0,212.0
V. Rüfli,67.0,63.0,202.0
A. Aseri,88.0,59.0,235.0
J. Greguš,67.0,63.0,197.0
D. Ward,69.0,65.0,207.0
F. Hartherz,62.0,65.0,197.0
Allan,79.0,65.0,210.0
Luis Felipe,62.0,70.0,205.0
F. Kiss,58.0,67.0,172.0
U. Ceylan,51.0,60.0,167.0
P. Filipović,71.0,63.0,198.0
Cifu,78.0,63.0,220.0
F. Álvarez,69.0,62.0,207.0
Caio Tafarell,68.0,67.0,201.0
E. Eze,78.0,62.0,216.0
A. Balzano,74.0,64.0,208.0
J. Olsson,30.0,65.0,126.0
J. Lefort,57.0,67.0,193.0
I. Höhn,65.0,69.0,189.0
J. Gyau,86.0,70.0,247.0
M. Al Sahlawi,69.0,75.0,207.0
Alberto,63.0,64.0,196.0
Luciano Cacheira,49.0,66.0,144.0
M. Gaus,69.0,67.0,217.0
C. Lampe,39.0,65.0,132.0
A. Vellios,61.0,68.0,183.0
J. Sánchez,66.0,60.0,201.0
F. Fielding,44.0,70.0,156.0
N. Theuerkauf,68.0,68.0,196.0
M. Sadlok,64.0,59.0,199.0
H. Olvera,64.0,57.0,193.0
S. Mosquera,39.0,58.0,143.0
V. Kalitvintsev,68.0,69.0,209.0
S. Papagiannopoulos,62.0,67.0,197.0
I. Pettersson,23.0,55.0,109.0
C. Evans,65.0,68.0,192.0
A. Richards,69.0,64.0,201.0
S. Dursun,61.0,65.0,187.0
R. Leipertz,71.0,64.0,218.0
R. Pasveer,57.0,68.0,171.0
D. Daube,71.0,68.0,209.0
Iñaki Astiz,63.0,62.0,179.0
S. Bigalke,93.0,67.0,250.0
M. Silvestri,65.0,62.0,185.0
S. Muwashar,91.0,62.0,243.0
A. Powell,84.0,64.0,230.0
P. Kirkevold,60.0,63.0,191.0
S. Roudet,73.0,64.0,191.0
S. Gonther,57.0,63.0,186.0
I. Ghaleb,78.0,64.0,216.0
P. Sotiriou,64.0,65.0,204.0
W. Faes,50.0,63.0,179.0
S. Tecl,71.0,70.0,222.0
M. Guanini,55.0,66.0,154.0
J. Brix-Damborg,59.0,71.0,175.0
M. de los Santos,48.0,64.0,163.0
F. Andrada,74.0,64.0,213.0
Z. Youssouf,72.0,62.0,202.0
S. Ciss,67.0,68.0,212.0
S. Mockenhaupt,58.0,67.0,194.0
N. Cozza,50.0,58.0,187.0
